abandon         (v) bỏ, từ bỏ
ability         (n) khả năng, năng lực
able            (adj) có năng lực, có tài
about           (adv) (prep) khoảng, về
above           (adv) ở trên
abroad          (adv) ở, ra nước ngoài, ngoài trời
absence         (n) sự vắng mặt
absent          (adj) vắng mặt, nghỉ
absolute                (adj) tuyệt đối, hoàn toàn
absolutely              (adv) tuyệt đối, hoàn toàn
absorb          (v) thu hút, hấp thu, lôi cuốn
abuse           (n) (v) lộng hành, lạm dụng
academic                (adj) thuộc học viện, ĐH, viện hàn lâm
accent          (n) trọng âm, dấu trọng âm
accept          (v) chấp nhận, chấp thuận
acceptable              (adj) có thể chấp nhận, chấp thuận
access          (n) lối, cửa, đường vào
accident                (n) tai nạn, rủi ro
accidental              (adj) tình cờ, bất ngờ
accidentally            (adv) tình cờ, ngẫu nhiên
accommodation           (n) sự thích nghi, điều tiết
accompany               (v) đi theo, đi cùng, kèm theo
account         (n) (v) tài khoản, kế toán; tính toán
accurate                (adj) đúng đắn, chính xác, xác đáng
accuse          (v) tố cáo, buộc tội, kết tội
acid            (n) axit
acknowledge             (v) công nhận, thừa nhận
acquire         (v) dành được, đạt được, kiếm được
across          (adv) (prep) qua, ngang qua
activity                (n) sự tích cực, sự hoạt động, sự hăng hái
actor           (n) diễn viên nam
actual          (adj) thực tế, có thật
actually                (adv) hiện nay, hiện tại
actress         (n) diễn viên nữ
adapt           (v) tra, lắp vào
add             (v) cộng, thêm vào
additional              (adj) thêm vào, tăng thêm
address         (n) (v) địa chỉ, đề địa chỉ
adequate                (adj) đầy, đầy đủ
adjust          (v) sửa lại cho đúng, điều chỉnh
admiration              (n) sự khâm phục,người khâm phục, thán phục
admire          (v) khâm phục, thán phục
admit           (v) nhận vào, cho vào, kết hợp
adopt           (v) nhận làm con nuôi, bố mẹ nuôi
adult           (n) (adj) người lớn, người trưởng thành;
advance         (n) (v) sự tiến bộ, tiến lên; đưa lên, đề xuất
advantage               (n) sự thuận lợi, lợi ích, lợi thế
adventure               (n) sự phiêu lưu, mạo hiểm
advertise               (v) báo cho biết, báo cho biết trước
advertisement           (n) quảng cáo
advice          (n) lời khuyên, lời chỉ bảo
advise          (v) khuyên, khuyên bảo, răn bảo
affair          (n) việc
affect          (v) làm ảnh hưởng, tác động đến
affection               (n) tình cảm, cảm xúc
afford          (v) có thể, có đủ khả năng, điều kiện (làm gì)
afraid          (adj) sợ, sợ hãi, hoảng sợ
after           (prep) (conj) sau, đằng sau, sau khi
afternoon               (n) buổi chiều
afterwards              (adv) sau này, về sau, rồi thì, sau đấy
age             (n) tuổi
agency          (n) tác dụng, lực; môi giới, trung gian
agent           (n) đại lý, tác nhân
aggressive              (adj) xâm lược, hung hăng (US: xông xáo)
ago             (adv) trước đây
ahead           (adv) trước, về phía trước
aim             (n) (v) sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
air             (n) không khí, bầu không khí, không gian
aircraft                (n) máy bay, tàu bay, khí cầu
alarm           (n) (v) báo động, báo nguy
alcohol         (n) rừợu cồn
alive           (adj) sống, vẫn còn sống, còn tồn tại
all             (n) (adv) tất cả
alone           (adj) (adv) cô đơn, một mình
alongside               (prep) (adv) sát cạnh, kế bên, dọc theo
aloud           (adv) lớn tiếng, to tiếng
already         (adv) đã, rồi, đã… rồi
also            (adv) cũng, cũng vậy, cũng thế
alter           (v) thay đổi, biến đổi, sửa đổi
